"date","AUT","BEL","CAN","CHE","CHL","DEU","DNK","ESP","FIN","FRA","GBR","GRC","ISL","ISR","ITA","JPN","KOR","LUX","MEX","NLD","NOR","PRT","SWE","TUR","USA"
1971-02-01,0.044247771442782,0.0370436173047868,0.0148514851485162,0.0624095180437483,0.228174603174605,0.0466666666666673,0.0594479830148635,0.0772088345855226,0.0404929577464772,0.0488798370672137,0.0851688693098389,0.0322580645161319,0.116788321167877,0.118745052889114,0.0477360113704368,0.062706270627062,0.158598367576695,0.0404366812227066,0.053777357741527,0.0679802955859252,0.0685714285714292,0.0779220779220811,0.0836355785837719,0.116600790513833,0.0499999999999965
1971-03-01,0.0442086490525015,0.0355092306333364,0.0148514851485162,0.0667892800840797,0.201342281879192,0.0464601769911477,0.0541871921182289,0.080308767932213,0.043020193151889,0.0497461928933962,0.0875912408759123,0.0317460317460272,0.107913669064742,0.12245072469965,0.0480377906976737,0.0555555555555554,0.15521278060873,0.0476813110181302,0.0546754527817039,0.0654296876249187,0.0681818181818186,0.0820809248554912,0.0783935536410845,0.125657894736843,0.0471204188481698
1971-04-01,0.04761903658559,0.036958817317843,0.0197044334975409,0.0686653517422762,0.202247191011236,0.048458149779735,0.0617543859649128,0.0857109378579497,0.0472854640980773,0.050505050505051,0.0941768511861965,0.0312499999999956,0.0921985815602768,0.122467739084322,0.0463958147818351,0.0582524271844638,0.126078748651566,0.0440933946705997,0.0587065888883187,0.0738581147240771,0.0621468926553661,0.102906976744188,0.0743196987848738,0.148391332895602,0.0415584415584422
1971-05-01,0.0421422276538082,0.0393278198134794,0.0197044334975409,0.0697601749863295,0.20989917506874,0.0506607929515397,0.0688456189151585,0.0995385330655132,0.0507880910683034,0.053319919517105,0.0982078853046591,0.0468749999999969,0.0992907801418372,0.114282322378798,0.0477792553191481,0.0649350649350657,0.11727049850177,0.0462827044296676,0.05869993271973,0.0776699030333257,0.0677966101694918,0.120517342739566,0.0669850338975768,0.152088772845953,0.0440414507772033
1971-06-01,0.0425716683311554,0.0411609498680754,0.0246305418719215,0.0658716785482834,0.210431654676261,0.0527472527472526,0.0715774843641466,0.0999654335160158,0.0671902268760891,0.0531062124248454,0.102930664760542,0.0312499999999956,0.0839160839160769,0.118320797621131,0.0469266224188776,0.0681818181818206,0.139418394323084,0.045724618961509,0.057066417846962,0.0764762827148309,0.0674157303370788,0.123022847100175,0.06532812632652,0.160206718346255,0.0463917525773154
1971-07-01,0.0440414280199688,0.0420859217779306,0.024390243902439,0.0675060758053687,0.190476190476191,0.0571428571428576,0.0517711171662094,0.0796209603716478,0.0705574912891955,0.0560000000000047,0.101490418736694,0.0317460317460272,0.0689655172413819,0.116856300042138,0.0480771495877503,0.0681818181818206,0.151540267992818,0.0425458912334895,0.0511221070438981,0.07528957523589,0.0552486187845358,0.122674418604653,0.0622104287760084,0.228923476005187,0.043589743589745
1971-08-01,0.0518582687143272,0.043831310573647,0.0341463414634138,0.0654901455622812,0.173688736027514,0.0571428571428576,0.0537049626104669,0.0647273978351164,0.077324066029542,0.0557768924302835,0.102982954545454,0.0322580645161319,0.0476190476190492,0.117257673300198,0.0482253086419748,0.0716612377850168,0.153635116598078,0.0467096774193569,0.0558370149345011,0.0758157389915424,0.061111111111118,0.117647058823529,0.0730653013261733,0.250965250965251,0.0461538461538482
1971-09-01,0.0534943917449409,0.051441048034935,0.0343137254901953,0.0668271200327741,0.15494137353434,0.0593406593406585,0.051886792452825,0.0725022629710452,0.0850694444444389,0.056547619047622,0.0989399293286228,0.0317460317460272,0.0198675496688747,0.109073923475523,0.048739775051124,0.0801282051282073,0.145038167938931,0.0472926662097346,0.0567358656269756,0.0771428573366779,0.0549450549450528,0.141552511415527,0.0712253096752595,0.253664754620778,0.0408163265306127
1971-10-01,0.053264604921812,0.0523975588491667,0.0392156862745114,0.0656105139829843,0.16528239202658,0.0590809628008744,0.0537634408602179,0.0736484318028989,0.0849220103986161,0.0583003952569165,0.0937062937062947,0.0156249999999942,0.00649350649350677,0.110507938599383,0.0491034031413622,0.0662460567823338,0.114131862358813,0.050901016312239,0.0574055225104524,0.080645161282161,0.0601092896174853,0.153802497162319,0.0768782275528939,0.252657911194496,0.0380710659898473
1971-11-01,0.050513686551305,0.0529381084840057,0.0392156862745114,0.0656409482866966,0.188118811881197,0.0566448801742923,0.0540720961281715,0.0853525535407953,0.0864304235090687,0.058070866141732,0.0923611111111116,0.0312499999999956,0.0129870129870133,0.128480137031429,0.0458293650793649,0.0567823343848592,0.118157894736844,0.0534572427316931,0.0534427985057435,0.0804162724628044,0.059782608695651,0.175507900677198,0.068171482905452,0.247995064774832,0.0328282828282871
1971-12-01,0.048551960911577,0.0557146576412348,0.0492610837438427,0.0662094170066843,0.221122112211226,0.0541125541125527,0.0574482297929162,0.0964301093860014,0.0871440897325253,0.0598626104023516,0.0903448275862075,0.0307692307692335,0.0397350993377497,0.133809956763754,0.0461270491803285,0.0501567398119136,0.0907819453273992,0.0551254785197823,0.049598259051125,0.0840415484155017,0.0483870967741977,0.151905829596409,0.0710793376884873,0.233964569334147,0.0326633165829187
1972-01-01,0.0534804687008343,0.055167055167052,0.0490196078431375,0.0666334909181383,0.248169243287224,0.0556745182012854,0.0587842351369405,0.0858373463301076,0.0639386189258309,0.0565853658536597,0.0816326530612241,0.0307692307692335,0.013071895424837,0.129710554727264,0.0467380720545278,0.0403726708074534,0.079420146202452,0.053494464632807,0.0439560928336431,0.0822429906276403,0.0588235294117638,0.137513751375137,0.0490626246509795,0.219335347432024,0.0326633165829187
1972-02-01,0.0567796602351776,0.0525432651893969,0.0487804878048785,0.0672166889648675,0.319063004846527,0.0509554140127386,0.063460253841015,0.0857943677039994,0.0646545785954278,0.0572815533980577,0.0811907983761837,0.0312499999999956,0.0261437908496742,0.1245626222085,0.0484966052376339,0.0465838509316769,0.0920685047977652,0.049609670108288,0.0428812304110082,0.0765682657673417,0.0641711229946527,0.152245345016429,0.0519185560027096,0.206489675516225,0.0350877192982444
1972-03-01,0.0618120469876207,0.0494622463871814,0.0536585365853626,0.0634205211565937,0.339185953711099,0.0528541226215664,0.0700934579439254,0.0848976316352497,0.0658568988422819,0.0580270793036799,0.075838926174497,0.0307692307692335,0.0519480519480537,0.132467400551045,0.0473429951690825,0.0526315789473679,0.101812112541727,0.0421000083201617,0.0446104163177059,0.0788267642527343,0.063829787234043,0.135683760683758,0.0538553259141501,0.196376388077147,0.0349999999999988
1972-04-01,0.0563973050409206,0.0476618035138328,0.0483091787439616,0.0633920661482441,0.380841121495329,0.0504201680672267,0.0667547918043638,0.0735619824660221,0.0761550331306176,0.0557692307692319,0.063074901445467,0.0454545454545496,0.0844155844155874,0.136596428233958,0.0462427745664742,0.0519877675840976,0.11375883127769,0.0433119960096435,0.0458219602597409,0.079638009010663,0.0691489361702144,0.115445440168688,0.0585845712692663,0.173813607775872,0.0349127182044875
1972-05-01,0.0598146621604239,0.0470021156537657,0.0483091787439616,0.0627282021323226,0.400000000000002,0.048218029350106,0.0605074821080067,0.0722752681736041,0.0801670146137796,0.0544412607449816,0.0613577023498704,0.0298507462686595,0.0967741935483906,0.142739858237817,0.0498084291187748,0.0518292682926826,0.138364013165917,0.0396962944623294,0.0457253964281414,0.0774774775411353,0.0687830687830702,0.144805876180484,0.0674152813299251,0.178470254957507,0.0322580645161272
1972-06-01,0.0650000214267041,0.0549346133897106,0.0432692307692348,0.0677108668158362,0.401931649331346,0.0480167014613793,0.0642023346303486,0.0703019741205355,0.064113878566173,0.0561370123691787,0.0609202851587822,0.0454545454545496,0.122580645161295,0.124571435721612,0.054545454545456,0.048632218844983,0.14653803883258,0.0489953886693018,0.0487078576403859,0.0782374102160617,0.0736842105263109,0.109546165884194,0.0698091405347188,0.195991091314031,0.0270935960591159
